student_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
STU00053,1,1,2,1,2,4,2,2,3,5
STU00054,2,2,2,1,4,1,1,1,2,2
STU00055,4,4,2,2,2,4,2,2,2,4
STU00056,5,4,2,2,4,4,1,2,2,5
STU00057,2,2,2,4,4,2,1,1,2,3
STU00058,3,4,2,2,1,5,2,2,2,5
STU00059,5,4,2,5,5,5,2,2,2,5
STU00060,5,2,1,4,5,1,2,2,1,4
STU00061,2,4,2,2,2,2,1,2,2,3
STU00062,1,2,2,4,4,2,2,2,2,4
STU00063,3,1,2,3,1,4,2,1,2,3
STU00064,4,4,2,4,3,4,2,2,2,5
STU00065,5,2,4,3,4,4,2,2,2,5
STU00066,3,4,2,1,2,2,2,2,2,3
STU00067,1,2,2,2,3,2,2,3,2,3
STU00068,2,2,2,5,4,2,1,2,2,3
STU00069,5,4,2,3,4,3,1,2,2,4
STU00070,4,3,4,2,4,2,2,5,2,4
STU00071,2,4,1,2,4,1,2,1,2,4
STU00072,3,4,1,3,1,1,2,2,2,5
STU00073,1,3,2,2,2,2,1,1,2,2
STU00074,4,4,2,2,3,4,2,1,2,4
STU00075,5,3,2,3,3,3,1,2,2,3
STU00076,1,4,2,2,2,2,2,2,2,2
STU00077,3,3,2,4,4,2,2,2,2,2
STU00078,1,2,2,1,2,2,2,2,2,3
STU00079,3,2,1,2,3,4,2,2,2,4
STU00080,3,2,1,5,4,3,1,2,2,3
STU00081,5,2,2,2,2,3,1,2,2,4
STU00082,2,2,2,3,4,2,1,1,2,2
STU00083,4,5,2,4,4,4,2,2,1,3
STU00084,3,2,2,2,3,4,2,2,2,5
STU00085,5,3,1,5,5,4,1,2,2,5
STU00086,4,5,1,4,2,2,2,2,2,5
STU00087,3,2,2,1,2,4,2,1,2,4
STU00088,5,5,2,1,4,4,2,2,2,4
STU00089,2,2,2,2,3,2,2,2,4,3
STU00090,3,4,2,1,3,2,1,1,2,3
STU00091,2,2,1,3,4,2,1,1,2,3
STU00092,3,2,4,2,3,2,2,2,2,5
STU00093,5,5,2,4,4,4,2,2,2,4
STU00094,1,4,3,1,2,1,2,2,2,4
STU00095,4,4,1,2,5,3,2,2,4,4
STU00096,2,2,3,3,5,2,1,3,2,4
STU00097,1,2,2,2,2,2,1,1,2,3
STU00098,5,5,1,2,3,3,2,2,2,3
STU00099,5,4,2,5,4,4,2,2,2,5
STU00100,1,2,1,2,3,1,1,2,2,4
STU00101,3,2,1,3,3,2,2,2,4,5
STU00102,5,2,4,3,5,2,2,3,4,5
STU00103,1,2,1,2,2,4,2,2,2,3
STU00104,3,3,2,3,4,4,1,2,2,3
STU00105,2,2,2,4,4,2,1,3,3,3
STU00106,4,3,2,4,4,3,2,2,4,5
STU00107,5,4,4,2,4,5,1,2,1,5
STU00108,5,3,2,4,4,2,2,2,2,5
STU00109,5,4,2,4,2,4,2,2,2,5
STU00110,4,4,1,2,2,1,1,2,2,4
STU00111,3,2,4,1,3,2,2,2,1,4
STU00112,1,1,2,3,4,1,1,2,2,4
STU00113,2,3,2,2,3,2,1,2,2,3
STU00114,2,2,2,2,2,4,2,2,1,4
STU00115,5,4,2,5,2,5,2,2,2,5
STU00116,1,2,2,5,4,1,1,2,2,4
STU00117,1,1,2,3,4,2,1,2,1,4
STU00118,5,5,2,4,4,2,2,2,2,5
STU00119,5,4,2,1,2,5,2,2,2,5
STU00120,3,1,1,4,3,2,2,2,2,4
STU00121,2,1,3,3,5,2,1,3,2,4
STU00122,3,3,2,3,3,3,1,2,2,2
STU00123,2,2,2,2,2,1,1,4,2,4
STU00124,2,2,1,1,2,4,2,2,1,3
STU00125,2,4,2,3,3,2,1,1,3,4
STU00126,5,3,2,5,5,4,2,2,2,5
STU00127,1,4,2,2,3,2,2,2,2,3
STU00128,2,4,2,2,2,2,2,1,2,4
STU00129,5,4,2,2,2,3,1,4,2,5
STU00130,1,1,1,2,5,2,1,2,2,4
STU00131,2,4,1,2,3,2,2,2,2,3
STU00132,5,2,2,5,4,5,2,2,2,5
STU00133,4,2,2,3,1,3,1,2,1,3
STU00134,2,2,2,2,2,2,1,3,2,4
STU00135,5,3,1,2,1,5,2,2,2,4
STU00136,1,2,2,2,5,2,1,1,2,5
STU00137,3,4,2,3,1,2,2,2,2,5
STU00138,5,4,2,1,2,4,2,2,2,5
STU00139,1,2,2,1,2,4,2,2,1,2
STU00140,3,2,2,2,2,2,1,2,2,4
STU00141,4,5,1,2,3,4,1,2,2,5
STU00142,2,4,2,2,1,2,2,3,1,5
STU00143,1,2,2,2,1,2,2,3,4,4
STU00144,1,2,2,1,2,4,2,2,2,3
STU00145,1,2,2,1,3,2,2,4,2,2
STU00146,4,2,2,1,2,3,1,2,2,4
STU00147,4,5,2,4,2,3,2,1,2,5
STU00148,4,1,2,3,4,4,2,2,1,4
STU00149,3,4,3,2,3,2,2,2,3,5
STU00150,4,3,2,4,4,5,2,2,2,5
STU00151,3,2,2,4,4,2,2,1,2,3
STU00152,2,4,3,1,3,2,2,3,2,4
STU00153,5,4,1,5,4,5,2,2,2,5
STU00154,5,4,2,5,4,4,2,1,2,5
STU00155,2,2,2,3,3,4,2,2,1,4
STU00156,1,2,1,2,2,2,1,1,4,4
STU00157,1,2,2,3,4,2,1,2,2,4
STU00158,1,3,2,3,2,2,2,4,2,5
STU00159,4,5,1,1,4,3,2,2,2,4
STU00160,4,3,2,2,1,3,1,2,2,4
STU00161,1,4,2,2,2,2,2,3,1,4
STU00162,2,4,2,2,2,2,2,2,1,4
STU00163,4,3,1,5,5,2,1,2,2,4
STU00164,2,4,2,2,1,3,1,2,2,3
STU00165,1,2,2,2,1,1,1,1,2,4
STU00166,4,3,4,4,2,2,2,2,2,5
STU00167,1,1,2,2,2,1,1,4,2,4
STU00168,5,2,2,4,4,3,2,2,2,5
STU00169,1,2,1,4,4,2,2,2,1,4
STU00170,1,2,1,1,2,2,1,4,2,2
STU00171,3,2,2,4,5,2,1,2,2,3
STU00172,4,3,2,3,4,2,1,2,2,4
STU00173,1,4,2,3,3,1,2,2,1,5
STU00174,1,2,2,2,2,2,1,4,2,4
STU00175,2,2,2,2,2,4,2,1,4,4
STU00176,1,2,2,2,2,1,1,2,1,4
STU00177,2,4,3,1,4,1,2,3,2,5
STU00178,5,5,2,4,5,4,2,2,2,4
STU00179,1,1,2,2,3,1,1,3,3,4
STU00180,3,2,2,3,4,1,2,1,1,3
STU00181,5,4,2,1,2,3,1,2,2,5
STU00182,2,5,1,2,2,4,1,2,2,4
STU00183,3,2,1,3,5,2,2,2,2,3
STU00184,4,2,1,2,5,2,1,2,3,5
STU00185,2,2,1,2,3,1,2,2,4,4
STU00186,5,4,2,2,5,2,2,4,2,5
STU00187,2,2,2,4,4,2,2,2,2,2
STU00188,3,3,1,3,2,2,2,2,4,4
STU00189,5,4,2,5,4,2,1,2,2,5
STU00190,1,4,2,1,3,2,2,3,2,3
STU00191,2,4,2,2,3,1,2,2,1,2
STU00192,3,2,2,4,2,2,1,2,2,4
STU00193,3,3,2,2,2,4,2,2,1,2
STU00194,5,5,2,4,4,2,1,2,2,5
STU00195,4,3,2,3,2,1,1,2,1,4
STU00196,1,1,2,1,3,2,1,2,2,3
STU00197,5,4,2,3,4,5,1,2,2,4
STU00198,5,5,2,2,2,2,2,2,2,5
STU00199,3,1,2,3,3,4,2,2,2,4
STU00200,4,3,2,4,4,3,2,5,2,4
STU00201,1,2,1,1,2,4,2,2,1,2
STU00202,3,2,2,5,4,3,2,2,2,4
STU00203,1,1,2,2,2,1,2,2,4,4
STU00204,4,4,2,2,2,4,2,2,2,5
STU00205,5,5,2,4,4,5,2,2,2,4
STU00206,1,1,2,2,3,1,1,2,3,4
STU00207,3,4,2,2,1,2,2,1,1,4
STU00208,1,2,2,4,4,1,2,2,3,3
STU00209,5,3,2,2,2,5,2,2,2,5
STU00210,1,2,3,2,3,1,1,3,2,4
STU00211,2,2,4,2,3,2,2,2,3,4
STU00212,1,2,2,3,2,2,2,4,1,5
STU00213,4,5,2,2,2,3,1,2,2,5
STU00214,2,3,2,2,2,2,1,2,2,4
STU00215,1,2,2,4,4,2,2,3,3,3
STU00216,5,3,1,5,5,2,1,2,2,5
STU00217,1,2,2,3,2,4,2,1,2,4
STU00218,5,5,2,4,2,5,2,2,2,5
STU00219,4,5,1,2,2,3,2,2,2,4
STU00220,4,2,1,2,2,5,2,2,2,4
STU00221,4,3,2,3,5,2,1,2,2,5
STU00222,1,2,2,3,4,2,1,3,1,4
STU00223,4,2,2,4,5,2,1,2,2,5
STU00224,5,3,2,4,4,4,1,2,2,4
STU00225,4,4,2,2,2,2,1,2,2,4
STU00226,5,4,2,5,5,4,1,2,2,5
STU00227,5,5,2,1,5,4,2,2,2,5
STU00228,4,5,1,4,2,4,2,2,2,4
STU00229,1,2,2,4,4,2,1,2,2,3
STU00230,3,1,2,2,4,2,1,2,2,5
STU00231,5,4,2,4,4,5,2,2,2,5
STU00232,4,4,2,2,4,4,2,2,2,4
STU00233,1,4,3,2,3,2,1,3,2,5
STU00234,1,1,3,1,2,2,2,2,2,3
STU00235,3,1,2,3,3,4,2,2,2,4
STU00236,4,4,1,2,2,4,1,2,2,4
STU00237,1,2,1,2,1,2,1,2,2,4
STU00238,2,4,2,2,2,2,2,2,2,4
STU00239,1,4,2,1,2,1,2,2,1,3
STU00240,3,3,2,3,4,3,1,2,2,4
STU00241,1,2,2,3,5,2,1,3,1,4
STU00242,1,1,2,2,2,4,2,2,2,3
STU00243,5,5,2,4,4,2,1,2,2,5
STU00244,1,4,2,2,2,2,2,3,2,3
STU00245,1,4,3,2,2,2,2,3,2,2
STU00246,3,2,4,4,2,2,2,1,2,4
STU00247,4,4,2,5,3,3,1,2,2,5
STU00248,4,3,1,2,1,5,2,2,2,4
STU00249,1,2,2,3,4,1,1,1,1,3
STU00250,3,2,2,4,4,4,2,2,2,4
STU00251,4,3,2,2,2,4,2,2,2,3
STU00252,4,4,2,4,2,2,2,2,1,5
STU00253,1,4,2,2,2,2,2,2,2,3
STU00254,4,3,2,2,2,4,1,1,2,5
STU00255,5,5,2,4,5,4,2,1,2,5
STU00256,4,5,2,1,2,4,2,2,1,3
STU00257,4,3,2,4,3,5,2,1,1,5
STU00258,4,5,2,4,3,3,2,2,2,5
STU00259,5,3,2,4,4,3,1,2,2,5
STU00260,4,4,2,4,2,3,1,2,2,4
STU00261,1,2,1,1,5,2,2,2,2,3
STU00262,1,2,2,5,4,2,2,2,3,4
STU00263,4,2,1,2,4,2,2,2,3,5
STU00264,4,4,2,2,2,4,2,2,2,5
STU00265,1,2,3,2,2,4,2,3,1,4
STU00266,2,2,1,2,3,1,1,3,2,4
STU00267,2,2,2,4,4,2,2,2,2,3
STU00268,4,3,2,4,4,3,2,1,2,5
STU00269,5,2,2,4,4,3,1,2,2,5
STU00270,1,2,3,2,3,4,2,3,3,3
STU00271,4,4,2,3,2,2,2,4,2,4
STU00272,2,4,2,2,2,2,2,2,3,3
STU00273,4,4,2,2,2,4,2,2,2,4
STU00274,3,3,2,5,4,3,2,2,2,5
STU00275,2,1,1,1,2,3,1,4,3,2
STU00276,3,3,2,3,4,2,1,2,2,5
STU00277,4,3,2,4,5,3,2,2,2,5
STU00278,1,2,3,1,4,2,1,3,2,4
STU00279,4,2,1,5,4,3,1,1,2,3
STU00280,3,2,4,1,4,3,2,3,2,3
STU00281,5,3,4,1,2,2,1,2,2,3
STU00282,1,4,1,2,2,2,2,2,2,3
STU00283,3,3,2,3,4,4,1,2,2,5
STU00284,1,2,3,3,4,2,1,2,2,3
STU00285,2,2,1,2,2,2,2,2,2,3
STU00286,1,3,2,4,4,2,1,1,2,4
STU00287,1,4,2,3,2,1,2,2,1,4
STU00288,3,3,1,4,4,2,1,2,2,3
STU00289,1,4,2,2,2,2,2,2,2,4
STU00290,1,1,2,2,3,2,2,3,2,3
STU00291,3,4,3,2,2,3,2,3,2,4
STU00292,4,3,2,2,2,5,2,2,2,5
STU00293,3,2,2,3,3,2,1,2,2,4
STU00294,1,2,2,3,5,2,2,2,2,5
STU00295,1,2,2,3,2,1,1,2,2,5
STU00296,4,5,2,4,2,2,1,2,2,5
STU00297,1,2,2,4,4,2,1,2,2,5
STU00298,4,4,2,2,4,4,2,2,2,5
STU00299,3,1,4,4,3,2,1,3,2,5
STU00300,3,4,2,2,3,1,1,2,2,2
STU00301,1,2,3,2,2,2,2,4,2,3
STU00302,1,3,2,4,5,2,2,2,2,5
STU00303,5,3,1,2,2,4,2,2,2,4
STU00304,1,2,1,1,1,1,1,2,2,2
STU00305,3,4,2,1,3,3,2,2,2,5
STU00306,1,2,2,2,2,4,2,2,2,2
STU00307,5,4,1,4,4,4,1,2,2,5
STU00308,4,4,2,5,4,4,1,2,2,5
STU00309,1,4,2,3,3,1,2,2,2,5
STU00310,1,1,1,2,2,4,2,2,2,3
STU00311,5,2,2,4,4,3,2,2,2,5
STU00312,3,3,2,3,4,4,2,2,2,5
STU00313,5,3,2,2,2,5,2,2,2,5
STU00314,3,2,2,2,3,3,2,2,3,3
STU00315,3,2,2,5,5,1,1,1,3,4
STU00316,2,1,3,2,2,4,1,3,2,5
STU00317,2,1,2,2,2,2,2,4,2,4
STU00318,5,4,1,5,4,4,2,2,2,4
STU00319,5,3,2,4,2,2,1,2,2,5
STU00320,5,4,2,4,2,2,1,2,2,4
STU00321,3,2,2,1,3,2,2,2,4,4
STU00322,4,5,1,2,2,2,1,2,1,4
STU00323,4,3,2,5,5,2,2,2,2,4
STU00324,5,3,1,2,2,5,2,1,2,5
STU00325,4,3,2,4,4,3,1,2,2,4
STU00326,1,2,2,2,2,2,1,5,2,3
STU00327,4,5,2,2,2,3,2,2,2,5
STU00328,3,1,2,2,2,1,1,2,2,4
STU00329,2,2,2,2,2,2,1,4,1,4
STU00330,4,4,2,4,2,2,2,2,2,5
STU00331,4,3,2,5,4,2,2,2,2,5
STU00332,3,3,2,4,2,4,2,2,2,4
STU00333,1,5,2,2,2,1,2,2,2,3
STU00334,1,2,1,2,4,2,1,2,5,5
STU00335,2,4,2,3,3,2,2,2,2,4
STU00336,5,2,4,2,4,4,2,3,4,5
STU00337,1,2,2,2,3,2,1,2,2,4
STU00338,5,3,1,5,4,4,1,2,2,4
STU00339,2,2,2,3,4,2,1,2,2,4
STU00340,2,2,2,2,3,2,1,3,2,4
STU00341,1,2,2,4,4,1,2,1,2,4
STU00342,1,2,1,4,4,2,2,2,1,3
STU00343,5,4,2,4,4,4,2,2,2,4
STU00344,3,2,2,3,4,2,2,2,2,5
STU00345,4,4,2,5,5,2,1,2,2,5
STU00346,2,1,1,1,2,1,1,2,4,3
STU00347,2,2,2,3,4,2,1,3,1,3
STU00348,5,4,2,2,2,5,2,2,2,5
STU00349,4,5,2,2,2,2,2,2,2,5
STU00350,2,4,4,1,3,2,2,3,3,5
STU00351,2,2,1,2,2,1,1,2,1,3
STU00352,4,4,2,4,2,4,2,2,2,5
STU00353,1,2,1,1,2,2,1,2,2,2
STU00354,4,5,2,3,2,4,2,1,2,5
STU00355,5,4,2,5,5,2,2,2,2,4
STU00356,1,2,3,1,1,2,1,2,2,4
STU00357,4,5,1,2,2,4,1,2,2,5
STU00358,2,4,1,2,2,1,2,2,2,4
STU00359,3,4,2,3,2,2,2,1,2,5
STU00360,1,1,2,4,4,2,1,2,1,3
STU00361,4,4,2,4,3,1,2,2,2,5
STU00362,3,3,2,1,3,4,2,1,2,3
STU00363,1,2,2,2,2,4,2,2,2,4
STU00364,5,3,2,4,4,5,2,2,2,5
STU00365,3,2,2,4,4,3,2,2,2,2
STU00366,3,3,2,2,2,4,2,1,2,2
STU00367,1,4,2,2,2,2,2,2,2,4
STU00368,5,5,1,2,2,2,1,2,2,3
STU00369,3,2,2,3,3,2,1,2,2,2
STU00370,4,2,2,4,4,4,1,2,2,4
STU00371,2,4,2,1,2,1,2,2,2,2
STU00372,1,1,1,1,1,2,1,4,2,4
STU00373,5,4,2,2,2,4,1,1,2,5
STU00374,1,2,2,1,2,4,2,2,1,4
STU00375,2,4,2,2,2,2,2,3,2,4
STU00376,5,2,2,2,2,5,2,2,2,4
STU00377,1,4,2,4,2,2,2,2,3,4
STU00378,1,4,2,2,2,1,2,2,1,5
STU00379,2,2,2,2,2,2,2,4,2,3
STU00380,2,4,2,1,2,3,2,2,2,2
STU00381,2,2,1,4,4,2,2,1,2,3
STU00382,4,2,5,1,1,3,2,2,2,3
STU00383,4,3,2,3,4,3,1,2,2,5
STU00384,1,4,2,2,2,2,2,2,2,3
STU00385,1,2,2,2,2,2,2,4,2,5
STU00386,4,3,2,3,4,4,1,2,2,4
STU00387,2,4,2,2,4,2,2,1,3,4
STU00388,3,4,2,1,2,3,1,2,2,2
STU00389,2,1,2,2,2,2,1,2,2,4
STU00390,3,2,1,2,2,4,2,1,2,3
STU00391,4,1,1,4,2,2,1,2,2,3
STU00392,5,4,2,5,2,5,2,2,2,5
STU00393,3,2,4,3,2,3,2,2,1,5
STU00394,2,2,2,2,4,1,2,2,2,4
STU00395,2,5,2,2,1,1,2,2,2,4
STU00396,2,4,2,2,2,2,2,2,3,4
STU00397,4,5,2,2,2,3,2,2,1,4
STU00398,4,4,1,1,4,3,1,2,2,3
STU00399,3,2,2,4,4,2,1,2,2,4
STU00400,1,2,2,2,3,2,1,1,2,4
STU00401,1,2,2,2,3,1,2,2,2,4
STU00402,4,5,2,2,2,2,1,2,2,4
STU00403,4,5,2,4,3,2,2,2,2,5
STU00404,3,1,2,3,1,2,1,2,2,4
STU00405,4,5,2,2,2,2,1,2,2,5
STU00406,4,5,2,2,2,3,1,2,2,3
STU00407,1,4,1,2,2,2,2,2,1,4
STU00408,5,4,2,5,2,5,1,2,1,5
STU00409,4,3,2,4,2,3,1,2,2,5
STU00410,5,4,3,2,4,1,2,4,3,5
STU00411,2,2,2,3,4,4,2,2,2,5
STU00412,1,4,2,2,2,2,2,1,2,4
STU00413,3,3,2,2,2,4,2,2,2,4
STU00414,4,5,2,1,2,2,2,2,2,4
STU00415,3,4,2,2,2,3,1,2,2,3
STU00416,5,4,2,3,4,5,2,2,2,4
STU00417,2,1,2,4,4,2,2,2,2,2
STU00418,4,3,4,2,4,3,2,2,1,4
STU00419,4,2,3,3,3,2,2,5,2,5
STU00420,2,2,2,4,4,2,2,2,1,4
STU00421,3,2,4,2,2,2,2,3,2,3
STU00422,3,5,2,2,2,3,2,2,2,5
STU00423,2,4,2,1,3,1,2,2,2,2
STU00424,1,1,2,3,4,1,1,1,2,5
STU00425,1,1,1,1,2,2,2,2,4,2
STU00426,2,4,2,2,4,2,2,2,2,5
STU00427,1,4,2,1,4,2,2,2,3,5
STU00428,2,2,1,2,2,2,2,2,4,3
STU00429,2,1,2,2,4,2,1,2,2,3
STU00430,2,2,2,4,4,1,1,2,1,3
STU00431,5,5,2,1,4,4,1,4,2,4
STU00432,1,1,2,2,3,2,2,1,2,4
STU00433,2,2,2,2,2,2,1,1,1,4
STU00434,2,4,2,2,2,2,2,2,2,4
STU00435,1,2,1,3,4,2,1,1,2,3
STU00436,2,4,2,2,2,2,2,2,1,4
STU00437,2,2,4,3,1,2,2,2,2,2
STU00438,4,5,1,2,2,4,2,2,2,4
STU00439,4,4,2,4,4,3,2,2,2,5
STU00440,4,5,2,2,2,2,2,2,2,4
STU00441,5,2,2,3,3,4,2,2,1,3
STU00442,1,1,2,2,3,2,1,2,2,5
STU00443,1,1,1,1,2,2,1,2,1,3
STU00444,1,2,2,1,5,2,1,1,3,4
STU00445,3,4,2,4,4,3,2,2,2,5
STU00446,5,4,2,4,4,4,2,2,2,5
STU00447,4,4,2,4,4,2,2,2,2,5
STU00448,4,2,3,2,3,4,2,3,2,4
STU00449,2,2,3,2,4,2,2,3,1,5
STU00450,1,2,3,2,5,2,1,3,4,4
STU00451,3,4,2,2,2,3,2,1,2,4
STU00452,5,3,2,2,2,5,2,2,2,5
STU00453,3,2,1,2,2,4,2,1,2,3
STU00454,5,2,2,5,5,3,2,2,2,4
STU00455,4,3,2,3,3,4,1,2,4,5
STU00456,1,2,2,2,3,2,2,2,1,5
STU00457,1,4,2,2,2,2,2,2,2,5
STU00458,4,4,3,2,3,2,2,4,4,5
STU00459,2,4,3,1,2,2,2,2,4,4
STU00460,5,5,2,3,1,3,2,2,2,5
STU00461,3,3,2,3,3,2,2,2,2,5
STU00462,1,1,2,3,3,2,2,2,4,5
STU00463,4,4,1,2,2,2,2,2,2,4
STU00464,5,5,2,5,4,3,2,2,2,5
STU00465,3,1,1,1,3,4,2,1,2,5
STU00466,5,4,1,5,2,3,1,2,2,5
STU00467,1,2,2,3,4,2,1,2,2,3
STU00468,2,2,2,1,2,3,1,2,2,4
STU00469,5,4,2,4,5,4,2,1,2,4
STU00470,5,4,2,5,4,4,1,2,2,5
STU00471,3,4,2,3,2,3,2,2,2,4
STU00472,4,4,2,2,3,4,2,2,2,5
STU00473,2,2,1,4,4,2,2,2,2,3
STU00474,2,4,1,2,2,2,2,3,2,4
STU00475,2,1,2,2,2,2,1,2,2,4
STU00476,4,3,2,2,2,3,2,2,4,5
STU00477,4,3,2,4,2,5,2,2,2,5
STU00478,4,5,2,2,3,4,2,2,1,4
STU00479,3,2,2,1,2,1,1,1,2,3
STU00480,5,4,2,5,4,4,1,2,2,5
STU00481,5,2,1,4,2,5,2,2,2,5
STU00482,3,2,1,2,2,2,1,1,2,4
STU00483,5,4,2,2,2,4,1,1,2,5
STU00484,5,5,2,2,2,4,2,2,1,5
STU00485,3,2,2,4,4,3,2,2,2,5
STU00486,4,5,2,2,2,3,1,2,1,5
STU00487,4,3,1,2,2,4,2,2,2,4
STU00488,1,2,2,3,5,2,1,2,3,3
STU00489,5,3,2,4,4,4,2,2,2,5
STU00490,1,2,2,2,3,2,1,4,2,2
STU00491,2,1,2,2,3,2,1,5,2,5
STU00492,2,2,2,1,2,2,2,2,4,4
STU00493,2,2,3,1,3,2,1,2,2,4
STU00494,2,1,2,1,1,4,2,2,2,3
STU00495,5,5,2,5,5,4,1,2,2,5
STU00496,1,2,3,2,2,1,1,4,2,4
STU00497,4,3,2,4,4,2,2,2,2,5
STU00498,1,4,1,2,3,2,2,2,2,3
STU00499,3,3,2,2,1,2,1,2,2,5
STU00500,1,2,1,2,4,1,1,2,2,3
STU00501,1,1,2,4,4,2,1,2,2,4
STU00502,2,2,1,2,2,4,2,2,2,3
STU00503,1,3,2,2,2,4,2,2,1,4
STU00504,4,5,2,1,4,1,2,2,2,5
STU00505,4,3,1,2,1,2,1,2,2,5
STU00506,2,2,1,3,2,2,1,2,2,4
STU00507,1,4,2,1,2,2,2,2,2,3
STU00508,5,2,2,4,4,5,2,2,2,4
STU00509,3,4,1,2,2,2,2,2,1,3
STU00510,4,2,2,4,2,2,1,2,2,5
STU00511,2,2,2,2,2,5,2,2,2,4
STU00512,4,2,1,5,5,4,1,2,2,5
STU00513,5,3,2,4,4,3,1,4,2,4
STU00514,2,2,2,2,2,1,2,2,4,5
STU00515,2,4,1,2,2,1,2,1,2,3
STU00516,1,2,2,1,4,1,1,3,2,2
STU00517,3,2,2,2,4,1,2,2,2,4
STU00518,2,2,2,2,1,2,1,4,2,2
STU00519,5,5,2,2,2,4,1,2,2,5
STU00520,1,1,2,4,4,2,2,3,2,3
STU00521,5,4,2,4,4,5,2,2,2,4
STU00522,2,1,2,1,2,4,2,2,2,4
STU00523,2,4,2,2,1,3,2,2,2,4
STU00524,3,4,2,2,2,2,2,2,2,3
STU00525,2,2,2,1,2,2,2,2,2,4
STU00526,4,1,3,2,4,2,2,2,2,3
STU00527,3,4,2,2,2,3,2,2,3,4
STU00528,3,3,2,2,1,4,2,1,2,5
STU00529,1,2,1,2,2,2,2,2,2,3
STU00530,1,4,2,1,1,2,2,1,3,4
STU00531,5,5,2,2,2,4,1,2,2,4
STU00532,1,2,2,2,3,2,2,4,1,4
STU00533,5,4,2,5,2,4,1,2,2,5
STU00534,4,1,1,2,4,4,1,2,2,4
STU00535,2,5,2,4,4,4,2,2,2,3
STU00536,2,2,2,2,2,2,2,2,4,2
STU00537,2,1,2,5,4,1,2,2,1,5
STU00538,4,2,2,3,4,4,2,2,5,4
STU00539,4,4,2,2,2,4,1,2,2,5
STU00540,1,2,2,1,2,2,1,3,4,3
STU00541,3,2,2,2,3,4,2,3,2,3
STU00542,5,5,2,1,2,4,2,2,2,4
STU00543,5,2,2,4,4,3,2,2,2,5
STU00544,4,2,1,1,3,4,1,2,2,3
STU00545,4,4,2,2,1,5,2,2,2,5
STU00546,3,5,2,3,2,2,2,2,2,3
STU00547,1,1,1,4,4,2,2,1,2,3
STU00548,3,2,1,4,4,2,1,2,2,3
STU00549,3,3,2,3,3,2,2,2,5,5
STU00550,2,1,3,2,1,1,1,5,2,4
STU00551,1,2,2,2,3,4,2,2,2,3
STU00552,3,4,2,3,1,2,2,2,2,5
STU00553,4,3,2,3,3,2,1,2,1,3
STU00554,5,5,2,4,4,4,1,2,2,5
STU00555,2,2,2,4,4,2,2,2,2,2
STU00556,5,5,2,4,5,4,2,2,2,5
