student_id,skill,experience_level
STU00022,Internet & Web,1
STU00022,MS Office,1
STU00023,Problem Solving,3
STU00023,Programming Fundamentals,3
STU00023,Computer Basics,2
STU00023,Java,2
STU00024,Computer Basics,3
STU00024,Programming Fundamentals,3
STU00024,Python,3
STU00024,REST APIs,3
STU00024,Linux,2
STU00025,Communication,1
STU00025,MS Office,1
STU00025,Presentation Skills,1
STU00025,Testing Basics,1
STU00026,Excel,4
STU00026,Power BI,4
STU00026,Communication,3
STU00026,Internet & Web,3
STU00026,Presentation Skills,2
STU00026,Testing Basics,2
STU00026,UI Design,2
STU00027,Analytical Thinking,3
STU00027,Problem Solving,3
STU00027,Computer Basics,2
STU00027,Testing Basics,2
STU00027,Data Visualization,1
STU00028,Git,2
STU00028,Cloud Basics,1
STU00028,Computer Basics,1
STU00028,Docker,1
STU00029,Excel,2
STU00029,Internet & Web,1
STU00029,Presentation Skills,1
STU00029,Problem Solving,1
STU00030,Analytical Thinking,2
STU00030,Internet & Web,1
STU00030,Java,1
STU00030,Power BI,1
STU00031,Problem Solving,2
STU00031,Cloud Basics,1
STU00031,Git,1
STU00031,React,1
STU00032,Electronics Basics,1
STU00032,Internet & Web,1
STU00032,Power BI,1
STU00033,Embedded Basics,3
STU00033,Cloud Basics,2
STU00033,Communication,2
STU00033,Git,2
STU00034,Business Communication,2
STU00034,Power BI,2
STU00034,MS Office,1
STU00034,UI Design,1
STU00035,Power BI,3
STU00035,Computer Basics,2
STU00035,MS Office,2
STU00035,SQL,2
STU00035,Business Analytics Basics,1
STU00035,Testing Basics,1
STU00036,Algorithms,3
STU00036,Problem Solving,2
STU00036,Programming Fundamentals,2
STU00036,SQL,2
STU00037,Networking,4
STU00037,Analytical Thinking,3
STU00037,HTML,3
STU00037,Internet & Web,3
STU00037,Cloud Basics,2
STU00038,Statistics,5
STU00038,Business Communication,4
STU00038,Git,4
STU00038,Problem Solving,4
STU00038,CSS,3
STU00038,Linux,3
STU00038,NumPy,3
STU00039,JavaScript,3
STU00039,Programming Fundamentals,3
STU00039,Communication,2
STU00039,Git,2
STU00039,MongoDB,1
STU00040,Computer Basics,2
STU00040,Git,2
STU00040,Internet & Web,2
STU00040,Linux,2
STU00041,OOP,5
STU00041,Git,4
STU00041,JavaScript,4
STU00041,Python,4
STU00041,SQL,4
STU00041,REST APIs,3
STU00042,Business Communication,3
STU00042,Power BI,3
STU00042,Computer Basics,2
STU00042,Problem Solving,2
STU00042,Business Analytics Basics,1
STU00042,Presentation Skills,1
STU00043,Python,2
STU00043,Statistics,2
STU00043,MS Office,1
STU00043,Pandas,1
STU00043,SQL,1
STU00044,Computer Basics,3
STU00044,Git,3
STU00044,Linux,3
STU00044,MS Office,3
STU00044,React,2
STU00045,Git,5
STU00045,OOP,5
STU00045,Computer Basics,4
STU00045,Internet & Web,4
STU00045,CSS,3
STU00045,Java,3
STU00045,JavaScript,3
STU00046,Internet & Web,1
STU00046,Problem Solving,1
STU00046,Programming Fundamentals,1
STU00046,UI Design,1
STU00047,AutoCAD Basics,4
STU00047,Internet & Web,3
STU00047,MS Office,3
STU00047,Testing Basics,3
STU00047,Docker,2
STU00048,Algorithms,4
STU00048,Python,4
STU00048,Computer Basics,3
STU00048,Internet & Web,3
STU00048,Machine Learning,2
STU00048,NumPy,2
STU00048,REST APIs,2
STU00049,AutoCAD Basics,3
STU00049,Business Communication,2
STU00049,Communication,2
STU00049,Internet & Web,2
STU00050,OOP,5
STU00050,Programming Fundamentals,5
STU00050,Computer Basics,4
STU00050,MS Office,4
STU00050,Java,3
STU00050,Linux,3
STU00050,React,3
STU00051,OOP,3
STU00051,Computer Basics,2
STU00051,JavaScript,2
STU00051,SQL,2
STU00051,Redux,1
STU00052,Python,4
STU00052,Internet & Web,3
STU00052,REST APIs,3
STU00052,SQL,3
STU00052,CSS,2
STU00052,Django,2
STU00053,Business Communication,3
STU00053,Internet & Web,2
STU00053,MS Office,2
STU00053,Problem Solving,2
STU00053,Presentation Skills,1
STU00053,Testing Basics,1
STU00054,Communication,1
STU00054,Internet & Web,1
STU00054,SQL,1
STU00054,Testing Basics,1
STU00055,OOP,4
STU00055,Docker,3
STU00055,Git,3
STU00055,Internet & Web,3
STU00055,Node.js,2
STU00056,Internet & Web,4
STU00056,MS Office,4
STU00056,Problem Solving,4
STU00056,SQL,4
STU00056,Cloud Basics,3
STU00056,Java,3
STU00056,JavaScript,3
STU00057,MS Office,2
STU00057,Business Communication,1
STU00057,Problem Solving,1
STU00058,Networking,4
STU00058,Operating Systems,4
STU00058,HTML,3
STU00058,Problem Solving,3
STU00058,React,2
STU00059,Pandas,5
STU00059,Git,4
STU00059,Problem Solving,4
STU00059,Programming Fundamentals,4
STU00059,CSS,3
STU00059,NumPy,3
STU00059,REST APIs,3
STU00060,Problem Solving,4
STU00060,SQL,4
STU00060,Power BI,3
STU00060,Programming Fundamentals,3
STU00061,HTML,2
STU00061,Computer Basics,1
STU00061,Internet & Web,1
STU00061,JavaScript,1
STU00062,Internet & Web,2
STU00062,Problem Solving,1
STU00062,UI Design,1
STU00063,Analytical Thinking,3
STU00063,Business Communication,2
STU00063,Problem Solving,2
STU00063,Programming Fundamentals,2
STU00064,Linux,3
STU00064,Programming Fundamentals,3
STU00064,Python,3
STU00064,SQL,3
STU00064,React,2
STU00065,Data Visualization,4
STU00065,Excel,4
STU00065,Git,4
STU00065,Internet & Web,4
STU00065,Linux,3
STU00065,Machine Learning,3
STU00065,NumPy,3
STU00066,Internet & Web,2
STU00066,MS Office,2
STU00066,Programming Fundamentals,2
STU00066,React,2
STU00066,Redux,1
STU00067,Excel,2
STU00067,Internet & Web,1
STU00067,MS Office,1
STU00067,UI Design,1
STU00068,Statistics,4
STU00068,Analytical Thinking,3
STU00068,Machine Learning,2
STU00068,Problem Solving,2
STU00068,Pandas,1
STU00069,Data Structures,4
STU00069,Internet & Web,3
STU00069,JavaScript,3
STU00069,Problem Solving,3
STU00069,Cloud Basics,2
STU00070,AutoCAD Basics,5
STU00070,Communication,4
STU00070,MS Office,4
STU00070,UI Design,4
STU00070,Node.js,3
STU00071,Computer Basics,3
STU00071,Internet & Web,3
STU00071,MS Office,3
STU00071,Power BI,3
STU00071,Presentation Skills,2
STU00072,Embedded Basics,3
STU00072,Problem Solving,3
STU00072,Python,2
STU00072,React,2
STU00073,CSS,1
STU00073,Internet & Web,1
STU00073,Linux,1
STU00073,MS Office,1
STU00074,AutoCAD Basics,4
STU00074,Communication,3
STU00074,Node.js,3
STU00074,Programming Fundamentals,3
STU00074,Power BI,2
STU00075,Programming Fundamentals,4
STU00075,Computer Basics,3
STU00075,Internet & Web,3
STU00075,Problem Solving,3
STU00075,HTML,2
STU00075,Linux,2
STU00075,NumPy,2
STU00076,Content Writing,2
STU00076,Computer Basics,1
STU00076,Internet & Web,1
STU00076,Power BI,1
STU00077,Computer Basics,2
STU00077,HTML,2
STU00077,MS Office,2
STU00077,Programming Fundamentals,2
STU00078,Business Communication,2
STU00078,Computer Basics,1
STU00078,MS Office,1
STU00078,Presentation Skills,1
STU00079,Embedded Basics,3
STU00079,Excel,2
STU00079,MS Office,2
STU00079,Programming Fundamentals,2
STU00080,Git,2
STU00080,Pandas,2
STU00080,Problem Solving,2
STU00080,Statistics,2
STU00080,REST APIs,1
STU00081,Programming Fundamentals,4
STU00081,Git,3
STU00081,MS Office,3
STU00081,OOP,3
STU00081,Cloud Basics,2
STU00082,Computer Basics,1
STU00082,Power BI,1
STU00082,Presentation Skills,1
STU00082,SQL,1
STU00083,Data Visualization,3
STU00083,Excel,3
STU00083,Git,3
STU00083,Programming Fundamentals,3
STU00083,Linux,2
STU00083,Machine Learning,2
STU00083,REST APIs,2
STU00083,Redux,2
STU00084,Computer Basics,2
STU00084,Docker,2
STU00084,Problem Solving,2
STU00084,SQL,2
STU00085,SQL,5
STU00085,Computer Basics,4
STU00085,Internet & Web,4
STU00085,MS Office,4
STU00085,Linux,3
STU00085,NumPy,3
STU00085,REST APIs,3
STU00086,HTML,4
STU00086,Computer Basics,3
STU00086,Programming Fundamentals,3
STU00086,Python,3
STU00086,JavaScript,2
STU00087,Internet & Web,2
STU00087,Java,2
STU00087,Programming Fundamentals,2
STU00087,SQL,2
STU00088,Operating Systems,5
STU00088,Git,4
STU00088,Problem Solving,4
STU00088,SQL,4
STU00088,CSS,3
STU00088,HTML,3
STU00089,Business Analytics Basics,1
STU00089,Computer Basics,1
STU00089,Internet & Web,1
STU00089,SQL,1
STU00090,Database Basics,3
STU00090,Programming Fundamentals,2
STU00090,REST APIs,2
STU00090,SQL,2
STU00090,MongoDB,1
STU00091,Business Communication,3
STU00091,Communication,2
STU00091,Computer Basics,2
STU00091,Problem Solving,2
STU00091,Business Analytics Basics,1
STU00091,Testing Basics,1
STU00092,Database Basics,3
STU00092,Communication,2
STU00092,Programming Fundamentals,2
STU00092,SQL,2
STU00093,Data Visualization,4
STU00093,Git,4
STU00093,HTML,4
STU00093,Problem Solving,4
STU00093,SQL,4
STU00093,JavaScript,3
STU00093,Machine Learning,3
STU00094,Business Communication,3
STU00094,Communication,2
STU00094,Computer Basics,2
STU00094,Internet & Web,2
STU00094,Presentation Skills,1
STU00094,UI Design,1
STU00095,Excel,4
STU00095,Internet & Web,4
STU00095,MS Office,4
STU00095,Problem Solving,4
STU00095,CSS,3
STU00095,Linux,3
STU00095,REST APIs,3
STU00096,Excel,4
STU00096,Communication,3
STU00096,MS Office,3
STU00096,Problem Solving,3
STU00096,Business Analytics Basics,2
STU00096,UI Design,2
STU00097,Embedded Basics,1
STU00097,Internet & Web,1
STU00097,Power BI,1
STU00098,Database Basics,4
STU00098,MS Office,3
STU00098,Node.js,3
STU00098,Problem Solving,3
STU00098,SQL,3
STU00098,Cloud Basics,2
STU00098,Linux,2
STU00099,Python,5
STU00099,Business Communication,4
STU00099,Git,4
STU00099,Problem Solving,4
STU00099,Java,3
STU00099,JavaScript,3
STU00099,Linux,3
STU00100,Communication,2
STU00100,Computer Basics,2
STU00100,Internet & Web,2
STU00100,Problem Solving,2
STU00100,Presentation Skills,1
STU00100,Testing Basics,1
STU00101,Analytical Thinking,2
STU00101,Computer Basics,2
STU00101,Internet & Web,2
STU00101,SQL,2
STU00101,Business Analytics Basics,1
STU00102,Business Communication,5
STU00102,SQL,5
STU00102,Computer Basics,4
STU00102,Internet & Web,4
STU00102,Business Analytics Basics,3
STU00102,Testing Basics,3
STU00102,UI Design,3
STU00103,Communication,1
STU00103,Computer Basics,1
STU00103,Internet & Web,1
STU00103,Testing Basics,1
STU00104,Statistics,4
STU00104,Internet & Web,3
STU00104,Problem Solving,3
STU00104,Programming Fundamentals,3
STU00104,AWS,2
STU00104,HTML,2
STU00104,JavaScript,2
STU00104,Machine Learning,2
STU00105,Excel,2
STU00105,Problem Solving,1
STU00105,Testing Basics,1
STU00105,UI Design,1
STU00106,Statistics,4
STU00106,Git,3
STU00106,MS Office,3
STU00106,SQL,3
STU00106,CSS,2
STU00106,Linux,2
STU00106,NumPy,2
STU00107,Business Communication,5
STU00107,Computer Basics,5
STU00107,Git,5
STU00107,Problem Solving,5
STU00107,Java,4
STU00107,JavaScript,4
STU00107,SQL,4
STU00108,Algorithms,5
STU00108,Data Structures,5
STU00108,Computer Basics,4
STU00108,Internet & Web,4
STU00108,Node.js,3
STU00108,REST APIs,3
STU00109,Business Communication,4
STU00109,MS Office,4
STU00109,Problem Solving,4
STU00109,Programming Fundamentals,4
STU00109,CSS,3
STU00109,HTML,3
STU00109,Machine Learning,3
STU00110,Data Structures,3
STU00110,Programming Fundamentals,3
STU00110,HTML,2
STU00110,Problem Solving,2
STU00111,Communication,2
STU00111,Excel,2
STU00111,Programming Fundamentals,2
STU00111,SQL,2
STU00112,MS Office,2
STU00112,Communication,1
STU00112,Testing Basics,1
STU00113,Computer Basics,1
STU00113,HTML,1
STU00113,MS Office,1
STU00113,Programming Fundamentals,1
STU00114,Computer Basics,2
STU00114,Business Communication,1
STU00114,Problem Solving,1
STU00115,Database Basics,5
STU00115,Git,5
STU00115,Problem Solving,4
STU00115,Python,4
STU00115,CSS,3
STU00115,Docker,3
STU00115,Java,3
STU00116,Statistics,3
STU00116,HTML,1
STU00116,Internet & Web,1
STU00116,Power BI,1
STU00117,Mathematics,2
STU00117,Internet & Web,1
STU00117,Power BI,1
STU00117,UI Design,1
STU00118,Pandas,5
STU00118,Statistics,5
STU00118,Internet & Web,4
STU00118,Programming Fundamentals,4
STU00118,JavaScript,3
STU00118,Machine Learning,3
STU00118,NumPy,3
STU00119,Database Basics,5
STU00119,OOP,5
STU00119,Programming Fundamentals,5
STU00119,Internet & Web,4
STU00119,Docker,3
STU00119,HTML,3
STU00119,JavaScript,3
STU00120,Analytical Thinking,3
STU00120,Docker,2
STU00120,Git,2
STU00120,MS Office,2
STU00121,Excel,4
STU00121,Power BI,4
STU00121,MS Office,3
STU00121,Problem Solving,3
STU00121,Business Analytics Basics,2
STU00121,Testing Basics,2
STU00121,UI Design,2
STU00122,Python,3
STU00122,Git,2
STU00122,JavaScript,2
STU00122,SQL,2
STU00122,Django,1
STU00123,Communication,2
STU00123,HTML,1
STU00123,Problem Solving,1
STU00123,Testing Basics,1
STU00124,Business Communication,2
STU00124,Communication,2
STU00124,Computer Basics,2
STU00124,MS Office,2
STU00125,Problem Solving,3
STU00125,Python,2
STU00125,SQL,2
STU00125,Testing Basics,2
STU00125,Express.js,1
STU00126,Pandas,5
STU00126,Python,5
STU00126,Computer Basics,4
STU00126,Problem Solving,4
STU00126,CSS,3
STU00126,Linux,3
STU00126,NumPy,3
STU00127,Embedded Basics,2
STU00127,Excel,1
STU00127,MS Office,1
STU00127,UI Design,1
STU00128,Problem Solving,2
STU00128,Internet & Web,1
STU00128,Testing Basics,1
STU00129,OOP,5
STU00129,Programming Fundamentals,5
STU00129,Computer Basics,4
STU00129,REST APIs,4
STU00129,Java,3
STU00129,Linux,3
STU00129,React,3
STU00130,Excel,3
STU00130,Data Visualization,1
STU00130,Internet & Web,1
STU00130,MS Office,1
STU00130,Presentation Skills,1
STU00131,Power BI,3
STU00131,Business Analytics Basics,2
STU00131,MS Office,2
STU00131,Problem Solving,2
STU00132,Computer Basics,5
STU00132,MS Office,5
STU00132,Programming Fundamentals,5
STU00132,Python,5
STU00132,Cloud Basics,4
STU00132,Docker,4
STU00132,Linux,4
STU00133,Python,3
STU00133,Docker,2
STU00133,Internet & Web,2
STU00133,MS Office,2
STU00134,Problem Solving,2
STU00134,MS Office,1
STU00134,React,1
STU00134,UI Design,1
STU00135,Programming Fundamentals,5
STU00135,Git,4
STU00135,MS Office,4
STU00135,Problem Solving,4
STU00135,CSS,3
STU00135,JavaScript,3
STU00135,REST APIs,3
STU00136,Excel,3
STU00136,Computer Basics,1
STU00136,MS Office,1
STU00136,Power BI,1
STU00137,AutoCAD Basics,3
STU00137,Business Communication,2
STU00137,MS Office,2
STU00137,Python,2
STU00138,Computer Basics,4
STU00138,Git,4
STU00138,Java,4
STU00138,MS Office,4
STU00138,Linux,3
STU00139,Business Communication,2
STU00139,AWS,1
STU00139,Internet & Web,1
STU00139,Presentation Skills,1
STU00139,Problem Solving,1
STU00140,Programming Fundamentals,2
STU00140,Communication,1
STU00140,Computer Basics,1
STU00140,Testing Basics,1
STU00141,Database Basics,4
STU00141,Programming Fundamentals,4
STU00141,Docker,3
STU00141,HTML,3
STU00141,SQL,3
STU00142,Communication,3
STU00142,Content Writing,3
STU00142,Business Communication,2
STU00142,Problem Solving,2
STU00143,Business Communication,1
STU00143,Computer Basics,1
STU00143,MS Office,1
STU00143,UI Design,1
STU00144,Financial Analysis,2
STU00144,Computer Basics,1
STU00144,Power BI,1
STU00144,Testing Basics,1
STU00145,Excel,2
STU00145,Communication,1
STU00145,MS Office,1
STU00145,UI Design,1
STU00146,Problem Solving,3
STU00146,Programming Fundamentals,3
STU00146,Computer Basics,2
STU00146,Docker,2
STU00147,Programming Fundamentals,4
STU00147,Computer Basics,3
STU00147,HTML,3
STU00147,MS Office,3
STU00147,Python,3
STU00147,Cloud Basics,2
STU00147,React,2
STU00148,Communication,3
STU00148,Internet & Web,3
STU00148,Power BI,3
STU00148,Python,3
STU00149,Computer Basics,2
STU00149,Internet & Web,2
STU00149,Problem Solving,2
STU00149,SQL,2
STU00149,Testing Basics,1
STU00149,UI Design,1
STU00150,Git,4
STU00150,Programming Fundamentals,4
STU00150,Linux,3
STU00150,Python,3
STU00150,SQL,3
STU00150,Java,2
STU00150,JavaScript,2
STU00151,Problem Solving,3
STU00151,Computer Basics,2
STU00151,Excel,2
STU00151,SQL,2
STU00152,Business Communication,3
STU00152,Financial Analysis,3
STU00152,Communication,2
STU00152,UI Design,2
STU00152,Presentation Skills,1
STU00153,Algorithms,5
STU00153,Internet & Web,5
STU00153,OOP,5
STU00153,Python,5
STU00153,Docker,4
STU00153,HTML,4
STU00153,SQL,4
STU00154,OOP,5
STU00154,Python,5
STU00154,Git,4
STU00154,MS Office,4
STU00154,Docker,3
STU00154,HTML,3
STU00154,Linux,3
STU00155,Statistics,2
STU00155,Business Communication,1
STU00155,Communication,1
STU00155,Programming Fundamentals,1
STU00156,Computer Basics,1
STU00156,HTML,1
STU00156,MS Office,1
STU00156,Testing Basics,1
STU00157,Computer Basics,2
STU00157,Communication,1
STU00157,Testing Basics,1
STU00158,Database Basics,3
STU00158,Analytical Thinking,2
STU00158,HTML,2
STU00158,MS Office,2
STU00158,User Research,1
STU00159,CSS,4
STU00159,Git,3
STU00159,Problem Solving,3
STU00159,SQL,3
STU00159,Linux,2
STU00160,OOP,4
STU00160,Cloud Basics,3
STU00160,Git,3
STU00160,MS Office,3
STU00160,CSS,2
STU00160,Linux,2
STU00160,Node.js,2
STU00161,Computer Basics,2
STU00161,Communication,1
STU00161,UI Design,1
STU00162,Analytical Thinking,1
STU00162,Computer Basics,1
STU00162,Excel,1
STU00163,Pandas,4
STU00163,Internet & Web,3
STU00163,MS Office,3
STU00163,Programming Fundamentals,3
STU00163,CSS,2
STU00163,NumPy,2
STU00163,REST APIs,2
STU00164,Operating Systems,3
STU00164,Docker,2
STU00164,MS Office,2
STU00164,Problem Solving,2
STU00164,MongoDB,1
STU00165,Internet & Web,2
STU00165,MS Office,2
STU00165,Business Communication,1
STU00166,Analytical Thinking,3
STU00166,Computer Basics,3
STU00166,Java,3
STU00166,MS Office,3
STU00166,CSS,2
STU00167,Content Writing,2
STU00167,MS Office,1
STU00167,Power BI,1
STU00167,Problem Solving,1
STU00168,Database Basics,4
STU00168,Programming Fundamentals,4
STU00168,Computer Basics,3
STU00168,Docker,3
STU00168,Linux,2
STU00169,Problem Solving,2
STU00169,Business Communication,1
STU00169,Excel,1
STU00169,HTML,1
STU00170,Creativity,1
STU00170,MS Office,1
STU00170,Problem Solving,1
STU00170,Testing Basics,1
STU00171,SQL,3
STU00171,Computer Basics,2
STU00171,MS Office,2
STU00171,React,2
STU00171,Excel,1
STU00172,Computer Basics,3
STU00172,Internet & Web,3
STU00172,Java,3
STU00172,Problem Solving,3
STU00172,JavaScript,2
STU00173,Analytical Thinking,2
STU00173,Statistics,2
STU00173,Business Communication,1
STU00173,Internet & Web,1
STU00174,Computer Basics,1
STU00174,HTML,1
STU00174,MS Office,1
STU00174,Testing Basics,1
STU00175,Embedded Basics,4
STU00175,Problem Solving,4
STU00175,Computer Basics,3
STU00175,Testing Basics,3
STU00175,Cloud Basics,2
STU00176,Communication,1
STU00176,Computer Basics,1
STU00176,Excel,1
STU00177,Excel,4
STU00177,Communication,3
STU00177,Computer Basics,3
STU00177,Internet & Web,3
STU00177,Business Analytics Basics,2
STU00177,Presentation Skills,2
STU00177,UI Design,2
STU00178,Computer Basics,5
STU00178,Problem Solving,5
STU00178,Python,5
STU00178,SQL,5
STU00178,HTML,4
STU00178,Linux,4
STU00178,Machine Learning,4
STU00179,Communication,2
STU00179,Content Writing,2
STU00179,Creativity,1
STU00179,Testing Basics,1
STU00180,Problem Solving,3
STU00180,Internet & Web,2
STU00180,OOP,2
STU00180,Programming Fundamentals,2
STU00181,Database Basics,5
STU00181,OOP,5
STU00181,Programming Fundamentals,5
STU00181,Problem Solving,4
STU00181,Docker,3
STU00181,Java,3
STU00181,Linux,3
STU00182,Computer Basics,4
STU00182,Docker,4
STU00182,HTML,4
STU00182,MS Office,4
STU00182,Problem Solving,4
STU00183,Excel,3
STU00183,Data Visualization,2
STU00183,Internet & Web,2
STU00183,Programming Fundamentals,2
STU00183,Business Communication,1
STU00183,CSS,1
STU00183,JavaScript,1
STU00184,Excel,4
STU00184,SQL,3
STU00184,Computer Basics,2
STU00184,Problem Solving,2
STU00184,Business Analytics Basics,1
STU00184,Testing Basics,1
STU00185,Excel,2
STU00185,Automation Basics,1
STU00185,Internet & Web,1
STU00185,Problem Solving,1
STU00185,SQL,1
STU00186,Excel,4
STU00186,Internet & Web,4
STU00186,MS Office,4
STU00186,Programming Fundamentals,4
STU00186,CSS,3
STU00186,JavaScript,3
STU00186,REST APIs,3
STU00187,Analytical Thinking,2
STU00187,Problem Solving,2
STU00187,OOP,1
STU00187,Power BI,1
STU00188,Problem Solving,3
STU00188,Computer Basics,2
STU00188,Python,2
STU00188,React,2
STU00189,Programming Fundamentals,5
STU00189,Python,5
STU00189,Computer Basics,4
STU00189,Problem Solving,4
STU00189,CSS,3
STU00189,Java,3
STU00189,SQL,3
STU00190,Excel,3
STU00190,Power BI,3
STU00190,Computer Basics,2
STU00190,Problem Solving,2
STU00190,Presentation Skills,1
STU00190,UI Design,1
STU00191,Communication,1
STU00191,Excel,1
STU00191,Internet & Web,1
STU00191,Java,1
STU00192,Analytical Thinking,3
STU00192,Problem Solving,3
STU00192,Internet & Web,2
STU00192,OOP,2
STU00193,AutoCAD Basics,3
STU00193,Computer Basics,2
STU00193,MS Office,2
STU00193,React,2
STU00194,Algorithms,5
STU00194,Programming Fundamentals,5
STU00194,Computer Basics,4
STU00194,Excel,4
STU00194,HTML,4
STU00194,JavaScript,3
STU00194,Machine Learning,3
STU00195,Python,3
STU00195,Communication,2
STU00195,Computer Basics,2
STU00195,Node.js,2
STU00196,Mathematics,2
STU00196,Communication,1
STU00196,Power BI,1
STU00196,UI Design,1
STU00197,Business Communication,5
STU00197,Git,5
STU00197,MS Office,5
STU00197,Problem Solving,5
STU00197,HTML,4
STU00197,JavaScript,4
STU00197,REST APIs,4
STU00198,Computer Basics,4
STU00198,HTML,4
STU00198,Internet & Web,4
STU00198,JavaScript,4
STU00198,Programming Fundamentals,4
STU00199,Pandas,3
STU00199,MS Office,2
STU00199,Problem Solving,2
STU00199,Programming Fundamentals,2
STU00199,Machine Learning,1
STU00199,NumPy,1
STU00199,Shell Scripting,1
STU00200,Statistics,4
STU00200,Computer Basics,3
STU00200,Figma,3
STU00200,Problem Solving,3
STU00200,Programming Fundamentals,3
STU00200,HTML,2
STU00200,Linux,2
STU00200,NumPy,2
STU00201,Problem Solving,2
STU00201,Business Communication,1
STU00201,Cloud Basics,1
STU00201,Internet & Web,1
STU00202,Algorithms,3
STU00202,Python,3
STU00202,Git,2
STU00202,Linux,2
STU00202,NumPy,1
STU00203,Project Planning,2
STU00203,Computer Basics,1
STU00203,Excel,1
STU00204,Data Structures,4
STU00204,Computer Basics,3
STU00204,Docker,3
STU00204,Problem Solving,3
STU00204,Java,2
STU00205,Business Communication,5
STU00205,Data Structures,5
STU00205,Git,5
STU00205,Problem Solving,5
STU00205,JavaScript,4
STU00205,Machine Learning,4
STU00205,Pandas,4
STU00206,Business Communication,3
STU00206,Power BI,3
STU00206,Communication,2
STU00206,Computer Basics,2
STU00206,Business Analytics Basics,1
STU00206,Testing Basics,1
STU00207,Problem Solving,3
STU00207,Communication,2
STU00207,OOP,2
STU00207,Programming Fundamentals,2
STU00208,Internet & Web,2
STU00208,Problem Solving,1
STU00208,Testing Basics,1
STU00209,Git,5
STU00209,OOP,5
STU00209,Internet & Web,4
STU00209,MS Office,4
STU00209,CSS,3
STU00209,Cloud Basics,3
STU00209,Java,3
STU00210,Problem Solving,2
STU00210,MS Office,1
STU00210,Power BI,1
STU00210,UI Design,1
STU00211,Financial Analysis,2
STU00211,Communication,1
STU00211,Programming Fundamentals,1
STU00211,Testing Basics,1
STU00212,Analytical Thinking,2
STU00212,Communication,1
STU00212,Internet & Web,1
STU00212,Machine Learning,1
STU00213,Database Basics,4
STU00213,Computer Basics,3
STU00213,HTML,3
STU00213,Internet & Web,3
STU00213,REST APIs,3
STU00213,Docker,2
STU00213,Node.js,2
STU00214,Computer Basics,2
STU00214,Internet & Web,2
STU00214,MS Office,2
STU00214,Node.js,2
STU00214,Django,1
STU00215,Computer Basics,1
STU00215,Figma,1
STU00215,Problem Solving,1
STU00215,Testing Basics,1
STU00216,Statistics,5
STU00216,Computer Basics,4
STU00216,MS Office,4
STU00216,SQL,4
STU00216,CSS,3
STU00216,NumPy,3
STU00216,REST APIs,3
STU00217,Internet & Web,2
